time,lat,lon,dev_acc_d
"2022-03-19 15:20:24",35.7216517,51.4157283,3.33298
"2022-03-19 15:20:29",35.7216517,51.4157283,3.33298
"2022-03-19 15:20:34",35.7216517,51.4157283,3.33298
"2022-03-19 15:20:39",35.7216517,51.4157283,3.33298
"2022-03-19 15:20:44",35.7216517,51.4157283,3.33298
"2022-03-19 15:20:49",35.7216517,51.4157283,3.33298
"2022-03-19 15:20:54",35.7216517,51.4157283,3.33298
"2022-03-19 15:20:59",35.7216517,51.4157283,3.33298
"2022-03-19 15:21:04",35.7216517,51.4157283,3.33298
"2022-03-19 15:21:09",35.7216517,51.4157283,3.33298
"2022-03-19 15:21:14",35.7216517,51.4157283,3.33298
"2022-03-19 15:21:19",35.7216517,51.4157283,3.33298
"2022-03-19 15:21:24",35.7216517,51.4157283,3.33298
"2022-03-19 15:21:29",35.7216517,51.4157283,3.33298
"2022-03-19 15:21:34",35.7216517,51.4157283,3.33298
"2022-03-19 15:21:39",35.7216517,51.4157283,3.33298
"2022-03-19 15:21:44",35.7216517,51.4157283,3.33298
"2022-03-19 15:21:49",35.7216517,51.4157283,3.33298
"2022-03-19 15:21:54",35.7216517,51.4157283,3.33298
"2022-03-19 15:21:59",35.7216517,51.4157283,3.33298
"2022-03-19 15:22:04",35.7216517,51.4157283,3.33298
"2022-03-19 15:22:09",35.7216517,51.4157283,3.33298
"2022-03-19 15:22:14",35.7216517,51.4157283,3.33298
"2022-03-19 15:22:19",35.7216517,51.4157283,3.33298
"2022-03-19 15:22:24",35.7216517,51.4157283,3.33298
"2022-03-19 15:22:29",35.7216517,51.4157283,3.33298
"2022-03-19 15:22:34",35.7216517,51.4157283,3.33298
"2022-03-19 15:22:39",35.7216517,51.4157283,3.33298
"2022-03-19 15:22:44",35.7216517,51.4157283,3.33298
"2022-03-19 15:22:49",35.7216517,51.4157283,3.33298
"2022-03-19 15:22:54",35.7216517,51.4157283,3.33298
"2022-03-19 15:22:59",35.7216517,51.4157283,3.33298
"2022-03-19 15:23:04",35.7216591,51.4157636,3.33627
"2022-03-19 15:23:09",35.7216583,51.415765,3.33642
"2022-03-19 15:23:14",35.7216583,51.415765,3.33642
"2022-03-19 15:23:19",35.7216583,51.415765,3.33642
"2022-03-19 15:23:24",35.7216583,51.415765,3.33642
"2022-03-19 15:23:29",35.7216583,51.415765,3.33642
"2022-03-19 15:23:34",35.7216583,51.415765,3.33642
"2022-03-19 15:23:39",35.7216583,51.415765,3.33642
"2022-03-19 15:23:44",35.7216583,51.415765,3.33642
"2022-03-19 15:23:49",35.7216583,51.415765,3.33642
"2022-03-19 15:23:54",35.7216583,51.415765,3.33642
"2022-03-19 15:23:59",35.7216583,51.415765,3.33642
"2022-03-19 15:24:04",35.7216583,51.415765,3.33642
"2022-03-19 15:24:09",35.7216583,51.415765,3.33642
"2022-03-19 15:24:14",35.7216583,51.415765,3.33642
"2022-03-19 15:24:19",35.7216583,51.415765,3.33642
"2022-03-19 15:24:24",35.7216583,51.415765,3.33642
"2022-03-19 15:24:29",35.7216583,51.415765,3.33642
"2022-03-19 15:24:34",35.7216583,51.415765,3.33642
"2022-03-19 15:24:39",35.721707,51.4156912,3.34501
"2022-03-19 15:24:44",35.7217195,51.4156724,3.34721
"2022-03-19 15:24:49",35.72172,51.4156717,3.34729
"2022-03-19 15:24:54",35.72172,51.4156717,3.34729
"2022-03-19 15:24:59",35.72172,51.4156717,3.34729
"2022-03-19 15:25:04",35.72172,51.4156717,3.34729
"2022-03-19 15:25:09",35.72172,51.4156717,3.34729
"2022-03-19 15:25:14",35.72172,51.4156717,3.34729
"2022-03-19 15:25:19",35.72172,51.4156717,3.34729
"2022-03-19 15:25:24",35.72172,51.4156717,3.34729
"2022-03-19 15:25:29",35.72172,51.4156717,3.34729
"2022-03-19 15:25:34",35.72172,51.4156717,3.34729
"2022-03-19 15:25:39",35.72172,51.4156717,3.34729
"2022-03-19 15:25:44",35.72172,51.4156717,3.34729
"2022-03-19 15:25:49",35.72172,51.4156717,3.34729
"2022-03-19 15:25:54",35.72172,51.4156717,3.34729
"2022-03-19 15:25:59",35.72172,51.4156717,3.34729
"2022-03-19 15:26:04",35.72172,51.4156717,3.34729
"2022-03-19 15:26:09",35.72172,51.4156717,3.34729
"2022-03-19 15:26:14",35.72172,51.4156717,3.34729
"2022-03-19 15:26:19",35.72172,51.4156717,3.34729
"2022-03-19 15:26:24",35.72172,51.4156717,3.34729
"2022-03-19 15:26:29",35.72172,51.4156717,3.34729
"2022-03-19 15:26:34",35.72172,51.4156717,3.34729
"2022-03-19 15:26:39",35.72172,51.4156717,3.34729
"2022-03-19 15:26:44",35.72172,51.4156717,3.34729
"2022-03-19 15:26:49",35.72172,51.4156717,3.34729
"2022-03-19 15:26:54",35.72172,51.4156717,3.34729
"2022-03-19 15:26:59",35.72172,51.4156717,3.34729
"2022-03-19 15:27:04",35.72172,51.4156717,3.34729
"2022-03-19 15:27:09",35.72172,51.4156717,3.34729
"2022-03-19 15:27:14",35.72172,51.4156717,3.34729
"2022-03-19 15:27:19",35.72172,51.4156717,3.34729
"2022-03-19 15:27:24",35.72172,51.4156717,3.34729
"2022-03-19 15:27:29",35.72172,51.4156717,3.34729
"2022-03-19 15:27:34",35.72172,51.4156717,3.34729
"2022-03-19 15:27:39",35.72172,51.4156717,3.34729
"2022-03-19 15:27:44",35.72172,51.4156717,3.34729
"2022-03-19 15:27:49",35.72172,51.4156717,3.34729
"2022-03-19 15:27:54",35.72172,51.4156717,3.34729
"2022-03-19 15:27:59",35.72172,51.4156717,3.34729
"2022-03-19 15:28:04",35.72172,51.4156717,3.34729
"2022-03-19 15:28:09",35.72172,51.4156717,3.34729
"2022-03-19 15:28:14",35.72172,51.4156717,3.34729
"2022-03-19 15:28:19",35.72172,51.4156717,3.34729
"2022-03-19 15:28:24",35.72172,51.4156717,3.34729
"2022-03-19 15:28:29",35.72172,51.4156717,3.34729
"2022-03-19 15:28:34",35.72172,51.4156717,3.34729
"2022-03-19 15:28:39",35.72172,51.4156717,3.34729
"2022-03-19 15:28:44",35.72172,51.4156717,3.34729
"2022-03-19 15:28:49",35.72172,51.4156717,3.34729
"2022-03-19 15:28:54",35.72172,51.4156717,3.34729
"2022-03-19 15:28:59",35.72172,51.4156717,3.34729
"2022-03-19 15:29:04",35.72172,51.4156717,3.34729
"2022-03-19 15:29:09",35.72172,51.4156717,3.34729
"2022-03-19 15:29:14",35.72172,51.4156717,3.34729
"2022-03-19 15:29:19",35.72172,51.4156717,3.34729
"2022-03-19 15:29:24",35.72172,51.4156717,3.34729
"2022-03-19 15:29:29",35.72172,51.4156717,3.34729
"2022-03-19 15:29:34",35.72172,51.4156717,3.34729
"2022-03-19 15:29:39",35.72172,51.4156717,3.34729
"2022-03-19 15:29:44",35.72172,51.4156717,3.34729
"2022-03-19 15:29:49",35.72172,51.4156717,3.34729
"2022-03-19 15:29:54",35.72172,51.4156717,3.34729
"2022-03-19 15:29:59",35.72172,51.4156717,3.34729
"2022-03-19 15:30:04",35.72172,51.4156717,3.34729
"2022-03-19 15:30:09",35.72172,51.4156717,3.34729
"2022-03-19 15:30:14",35.72172,51.4156717,3.34729
"2022-03-19 15:30:19",35.72172,51.4156717,3.34729
"2022-03-19 15:30:24",35.72172,51.4156717,3.34729
"2022-03-19 15:30:29",35.72172,51.4156717,3.34729
"2022-03-19 15:30:34",35.72172,51.4156717,3.34729
"2022-03-19 15:30:39",35.72172,51.4156717,3.34729
"2022-03-19 15:30:44",35.72172,51.4156717,3.34729
"2022-03-19 15:30:49",35.72172,51.4156717,3.34729
"2022-03-19 15:30:53",35.72172,51.4156717,3.34729
"2022-03-19 15:30:59",35.72172,51.4156717,3.34729
"2022-03-19 15:31:04",35.72172,51.4156717,3.34729
"2022-03-19 15:31:09",35.72172,51.4156717,3.34729
"2022-03-19 15:31:14",35.72172,51.4156717,3.34729
"2022-03-19 15:31:19",35.72172,51.4156717,3.34729
"2022-03-19 15:31:24",35.72172,51.4156717,3.34729
"2022-03-19 15:31:29",35.72172,51.4156717,3.34729
"2022-03-19 15:31:34",35.72172,51.4156717,3.34729
"2022-03-19 15:31:39",35.72172,51.4156717,3.34729
"2022-03-19 15:31:44",35.72172,51.4156717,3.34729
"2022-03-19 15:31:49",35.72172,51.4156717,3.34729
"2022-03-19 15:31:54",35.72172,51.4156717,3.34729
"2022-03-19 15:31:59",35.72172,51.4156717,3.34729
"2022-03-19 15:32:04",35.72172,51.4156717,3.34729
"2022-03-19 15:32:09",35.72172,51.4156717,3.34729
"2022-03-19 15:32:14",35.72172,51.4156717,3.34729
"2022-03-19 15:32:19",35.72172,51.4156717,3.34729
"2022-03-19 15:32:24",35.72172,51.4156717,3.34729
"2022-03-19 15:32:29",35.72172,51.4156717,3.34729
"2022-03-19 15:32:34",35.72172,51.4156717,3.34729
"2022-03-19 15:32:39",35.72172,51.4156717,3.34729
"2022-03-19 15:32:44",35.72172,51.4156717,3.34729
"2022-03-19 15:32:49",35.72172,51.4156717,3.34729
"2022-03-19 15:32:54",35.72172,51.4156717,3.34729
"2022-03-19 15:32:59",35.72172,51.4156717,3.34729
"2022-03-19 15:33:04",35.72172,51.4156717,3.34729
"2022-03-19 15:33:09",35.72172,51.4156717,3.34729
"2022-03-19 15:33:14",35.72172,51.4156717,3.34729
"2022-03-19 15:33:19",35.72172,51.4156717,3.34729
"2022-03-19 15:33:24",35.72172,51.4156717,3.34729
"2022-03-19 15:33:29",35.72172,51.4156717,3.34729
"2022-03-19 15:33:34",35.72172,51.4156717,3.34729
"2022-03-19 15:33:39",35.72172,51.4156717,3.34729
"2022-03-19 15:33:44",35.72172,51.4156717,3.34729
"2022-03-19 15:33:49",35.72172,51.4156717,3.34729
"2022-03-19 15:33:54",35.72172,51.4156717,3.34729
"2022-03-19 15:33:59",35.72172,51.4156717,3.34729
"2022-03-19 15:34:04",35.72172,51.4156717,3.34729
"2022-03-19 15:34:09",35.72172,51.4156717,3.34729
"2022-03-19 15:34:14",35.72172,51.4156717,3.34729
"2022-03-19 15:34:19",35.72172,51.4156717,3.34729
"2022-03-19 15:34:24",35.72172,51.4156717,3.34729
"2022-03-19 15:34:29",35.72172,51.4156717,3.34729
"2022-03-19 15:34:34",35.72172,51.4156717,3.34729
"2022-03-19 15:34:39",35.72172,51.4156717,3.34729
"2022-03-19 15:34:44",35.72172,51.4156717,3.34729
"2022-03-19 15:34:49",35.72172,51.4156717,3.34729
"2022-03-19 15:34:54",35.72172,51.4156717,3.34729
"2022-03-19 15:34:59",35.72172,51.4156717,3.34729
"2022-03-19 15:35:04",35.72172,51.4156717,3.34729
"2022-03-19 15:35:09",35.72172,51.4156717,3.34729
"2022-03-19 15:35:14",35.72172,51.4156717,3.34729
"2022-03-19 15:35:19",35.72172,51.4156717,3.34729
"2022-03-19 15:35:24",35.72172,51.4156717,3.34729
"2022-03-19 15:35:29",35.72172,51.4156717,3.34729
"2022-03-19 15:35:34",35.72172,51.4156717,3.34729
"2022-03-19 15:35:39",35.72172,51.4156717,3.34729
"2022-03-19 15:35:44",35.72172,51.4156717,3.34729
"2022-03-19 15:35:49",35.72172,51.4156717,3.34729
